Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2169;0;0;23;251;143;127;176;2835;1654;5768;544;10433;10433;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2170;0;0;32;278;152;119;245;3140;1758;5404;581;10547;10547;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2171;0;0;24;248;155;130;184;2801;1793;5904;557;10682;10682;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2172;0;0;23;280;152;129;176;3162;1758;5858;584;10954;10954;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2173;0;0;24;271;171;132;184;3060;1978;5995;598;11217;11217;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2174;0;0;29;303;142;120;222;3422;1643;5450;594;10737;10737;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2175;0;0;17;271;162;119;130;3060;1874;5404;569;10468;10468;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2176;0;0;28;278;152;127;214;3140;1758;5768;585;10880;10880;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2177;0;0;32;276;185;141;245;3117;2140;6403;634;11905;11905;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2178;0;0;18;292;185;129;138;3298;2140;5858;624;11434;11434;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2179;0;0;26;280;141;124;199;3162;1631;5631;571;10623;10623;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2180;0;0;17;270;167;128;130;3049;1932;5813;582;10924;10924;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2181;0;0;21;264;157;129;161;2981;1816;5858;571;10816;10816;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2182;0;0;25;291;161;142;191;3286;1862;6449;619;11788;11788;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2183;0;0;23;249;157;116;176;2812;1816;5268;545;10072;10072;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2184;0;0;17;280;144;128;130;3162;1666;5813;569;10771;10771;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2185;0;0;22;279;157;132;168;3151;1816;5995;590;11130;11130;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2186;0;0;18;271;181;126;138;3060;2094;5722;596;11014;11014;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2187;0;0;26;253;168;132;199;2857;1943;5995;579;10994;10994;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2188;0;0;25;267;165;124;191;3015;1909;5631;581;10746;10746;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2189;0;0;29;251;153;137;222;2835;1770;6222;570;11049;11049;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2190;0;0;20;262;174;112;153;2959;2013;5086;568;10211;10211;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2191;0;0;18;256;160;121;138;2891;1851;5495;555;10375;10375;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2192;0;0;23;269;166;138;176;3038;1920;6267;596;11401;11401;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2193;0;0;26;255;147;125;199;2880;1700;5677;553;10456;10456;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2194;0;0;29;250;150;163;222;2823;1735;7403;592;12183;12183;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2195;0;0;11;284;137;138;84;3207;1585;6267;570;11143;11143;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2196;0;0;21;249;154;135;161;2812;1781;6131;559;10885;10885;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2197;0;0;22;274;146;151;168;3094;1689;6858;593;11809;11809;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2198;0;0;24;223;168;142;184;2518;1943;6449;557;11094;11094;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2199;0;0;31;265;151;134;237;2993;1747;6085;581;11062;11062;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2200;0;0;20;258;158;129;153;2914;1828;5858;565;10753;10753;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2201;0;0;22;272;142;95;168;3072;1643;4314;531;9197;9197;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2202;0;0;12;301;173;140;92;3399;2001;6358;626;11850;11850;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2203;0;0;34;297;141;127;260;3354;1631;5768;599;11013;11013;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2204;0;0;29;228;154;122;222;2575;1781;5541;533;10119;10119;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2205;0;0;24;250;153;136;184;2823;1770;6176;563;10953;10953;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2206;0;0;20;267;182;128;153;3015;2105;5813;597;11086;11086;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2207;0;0;22;266;164;135;168;3004;1897;6131;587;11200;11200;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2208;0;0;25;268;169;148;191;3027;1955;6721;610;11894;11894;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2209;0;0;18;288;160;132;138;3252;1851;5995;598;11236;11236;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2210;0;0;28;293;152;140;214;3309;1758;6358;613;11639;11639;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2211;0;0;23;286;190;108;176;3230;2198;4905;607;10509;10509;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2212;0;0;23;242;142;148;176;2733;1643;6721;555;11273;11273;0.0;0.0;0.0;0.0;0.0;0.0;0.0
